user_id,age,tenure_months,archetype,monthly_logins,supercoins_earned,supercoins_redeemed,redemption_category,engagement_score_before,engagement_score_after
105,18,32,Wellness Focused,10,239.4,184.7,Fitness,9.24,10.17
106,22,36,Deal Hunter,28,342.4,146.9,Discount Vouchers,18.89,22.78
107,43,37,Wellness Focused,15,246.7,223.6,Streaming,12.2,13.43
108,31,26,Deal Hunter,17,313.9,258.0,Groceries,14.22,17.03
109,44,22,Convenience Seeker,23,275.9,131.6,Streaming,15.58,18.59
110,26,4,Convenience Seeker,22,217.8,113.3,Food Delivery,14.31,17.13
111,32,31,Deal Hunter,19,255.8,192.9,Discount Vouchers,13.99,16.78
112,32,18,Convenience Seeker,19,165.4,150.0,Electronics,12.65,15.19
113,43,38,Wellness Focused,15,134.8,87.0,Groceries,9.72,10.58
114,30,24,Tech Enthusiast,16,569.7,380.1,Discount Vouchers,17.5,19.2
115,49,23,Tech Enthusiast,11,318.8,169.2,Streaming,10.38,12.02
116,49,22,Convenience Seeker,22,203.7,124.4,Discount Vouchers,14.28,16.99
117,21,2,Wellness Focused,15,186.8,104.1,Fitness,10.41,11.8
118,47,31,Deal Hunter,24,463.8,275.0,Streaming,19.39,24.16
119,54,11,Deal Hunter,10,257.0,105.7,Discount Vouchers,8.63,10.6
120,40,28,Deal Hunter,22,282.3,119.3,Discount Vouchers,15.02,18.19
121,32,46,Convenience Seeker,25,300.3,232.5,Groceries,17.83,20.77
122,46,32,Deal Hunter,16,356.9,276.6,Groceries,14.34,17.86
123,53,5,Deal Hunter,19,278.3,161.9,Streaming,13.9,17.39
124,30,38,Wellness Focused,6,130.0,115.3,Fitness,5.45,5.86
125,49,10,Wellness Focused,11,206.9,113.0,Groceries,8.7,9.25
126,24,40,Convenience Seeker,28,241.8,149.3,Discount Vouchers,17.91,21.87
127,39,46,Deal Hunter,19,337.2,270.6,Discount Vouchers,15.58,19.67
128,45,24,Convenience Seeker,20,249.8,202.1,Groceries,14.52,17.06
129,19,35,Convenience Seeker,26,281.1,245.6,Discount Vouchers,18.27,21.82
130,23,44,Wellness Focused,13,207.3,86.2,Groceries,9.44,10.53
131,45,23,Deal Hunter,23,203.1,101.8,Fitness,14.55,17.56
132,45,17,Wellness Focused,8,152.2,114.5,Groceries,6.67,7.16
133,37,1,Tech Enthusiast,13,430.0,252.0,Food Delivery,13.32,15.38
134,47,31,Deal Hunter,20,368.6,156.3,Electronics,15.25,18.5
135,28,31,Tech Enthusiast,11,390.1,281.9,Discount Vouchers,12.22,13.83
136,45,42,Convenience Seeker,23,149.3,92.0,Streaming,13.91,16.73
137,42,42,Deal Hunter,12,394.9,237.1,Discount Vouchers,12.32,14.83
138,50,34,Convenience Seeker,13,311.3,169.8,Streaming,11.31,13.91
139,18,9,Deal Hunter,21,326.3,131.6,Discount Vouchers,15.08,17.99
140,44,22,Deal Hunter,19,292.1,146.2,Streaming,13.88,17.33
141,30,13,Convenience Seeker,31,296.0,195.6,Discount Vouchers,20.42,24.22
142,20,25,Wellness Focused,12,152.7,84.2,Discount Vouchers,8.37,9.23
143,23,18,Tech Enthusiast,13,462.6,407.5,Food Delivery,15.2,17.07
144,25,12,Wellness Focused,10,287.8,137.8,Groceries,9.26,9.87
145,44,40,Deal Hunter,14,290.7,256.3,Groceries,12.47,15.35
146,26,17,Wellness Focused,9,226.8,141.2,Streaming,8.18,9.12
147,54,15,Wellness Focused,10,140.7,77.6,Fitness,7.18,7.85
148,50,42,Tech Enthusiast,13,471.6,267.6,Electronics,13.89,15.5
149,41,15,Tech Enthusiast,15,395.2,229.8,Streaming,13.75,14.72
150,32,15,Tech Enthusiast,13,496.9,337.2,Streaming,14.84,16.37
151,49,39,Convenience Seeker,28,243.3,144.7,Food Delivery,17.88,21.06
152,49,13,Wellness Focused,13,126.1,95.4,Fitness,8.72,9.81
153,41,17,Deal Hunter,20,299.9,190.1,Discount Vouchers,14.9,18.3
154,29,32,Tech Enthusiast,11,396.6,305.2,Electronics,12.52,14.34
155,19,9,Deal Hunter,16,334.2,244.8,Discount Vouchers,13.79,16.78
156,20,40,Deal Hunter,25,300.3,160.5,Discount Vouchers,17.11,20.16
157,54,20,Deal Hunter,29,334.7,283.5,Discount Vouchers,20.68,26.25
158,34,26,Wellness Focused,10,195.8,164.4,Groceries,8.6,9.26
159,19,27,Convenience Seeker,29,234.4,221.2,Food Delivery,19.06,23.41
160,19,21,Convenience Seeker,31,279.7,138.8,Electronics,19.69,23.5
161,45,18,Tech Enthusiast,19,374.8,324.7,Streaming,16.5,19.33
162,40,13,Tech Enthusiast,22,530.0,466.2,Electronics,20.96,25.69
163,54,16,Deal Hunter,19,337.9,254.5,Discount Vouchers,15.42,19.33
164,49,9,Deal Hunter,17,356.7,242.1,Electronics,14.49,17.37
165,50,12,Tech Enthusiast,18,398.3,369.0,Electronics,16.67,19.11
166,18,44,Tech Enthusiast,15,366.8,342.9,Fitness,14.6,16.66
167,36,38,Convenience Seeker,24,310.2,233.5,Discount Vouchers,17.44,20.28
168,19,19,Wellness Focused,10,199.8,119.4,Groceries,8.19,8.85
169,43,7,Deal Hunter,23,163.2,138.6,Fitness,14.52,17.81
170,49,35,Tech Enthusiast,22,525.5,236.0,Streaming,18.61,21.23
171,23,18,Wellness Focused,15,224.3,125.6,Electronics,11.0,11.8
172,49,16,Convenience Seeker,21,237.1,223.4,Streaming,15.1,17.65
173,21,39,Deal Hunter,15,356.3,302.1,Fitness,14.08,16.96
174,28,4,Tech Enthusiast,12,435.3,399.1,Food Delivery,14.34,15.4
175,34,25,Wellness Focused,12,209.7,152.5,Fitness,9.62,10.76
176,41,32,Deal Hunter,16,267.8,167.1,Discount Vouchers,12.35,15.34
177,22,40,Wellness Focused,17,184.3,173.0,Fitness,12.07,13.56
178,51,13,Wellness Focused,13,198.1,113.0,Electronics,9.61,10.37
179,23,45,Convenience Seeker,23,333.9,272.7,Food Delivery,17.57,20.69
180,39,17,Wellness Focused,14,186.2,131.6,Fitness,10.18,11.3
181,28,37,Convenience Seeker,25,285.9,150.3,Groceries,16.86,20.68
182,33,6,Tech Enthusiast,15,355.4,145.6,Electronics,12.51,14.51
183,50,19,Deal Hunter,17,324.0,198.0,Groceries,13.72,16.55
184,26,13,Deal Hunter,15,372.0,260.9,Fitness,13.83,17.54
185,23,26,Deal Hunter,17,278.9,139.7,Groceries,12.69,16.31
186,33,14,Wellness Focused,9,156.7,98.4,Groceries,7.05,7.84
187,46,31,Wellness Focused,6,122.2,90.2,Groceries,5.12,5.81
188,20,4,Tech Enthusiast,18,328.7,260.7,Streaming,14.89,17.06
189,37,39,Wellness Focused,14,128.4,55.1,Fitness,8.84,9.43
190,53,8,Convenience Seeker,32,293.7,224.8,Discount Vouchers,21.18,26.01
191,36,25,Tech Enthusiast,9,395.2,170.4,Electronics,10.16,11.6
192,43,13,Deal Hunter,7,268.6,111.6,Groceries,7.3,8.83
193,20,32,Tech Enthusiast,20,540.7,261.6,Streaming,18.02,20.06
194,36,38,Convenience Seeker,16,217.9,165.5,Food Delivery,11.83,14.34
195,37,38,Wellness Focused,9,217.5,93.3,Groceries,7.61,8.92
196,49,28,Wellness Focused,11,200.0,82.3,Groceries,8.32,9.6
197,24,30,Wellness Focused,10,194.9,90.6,Fitness,7.86,8.17
198,50,3,Deal Hunter,11,210.1,193.8,Discount Vouchers,9.54,11.83
199,35,28,Convenience Seeker,19,336.2,302.3,Groceries,15.88,19.77
200,18,3,Convenience Seeker,18,279.2,124.9,Groceries,13.04,15.49
201,28,45,Tech Enthusiast,24,465.1,263.8,Streaming,19.29,21.51
202,45,34,Convenience Seeker,20,328.3,302.4,Groceries,16.31,19.31
203,42,16,Tech Enthusiast,13,512.8,232.7,Streaming,13.96,16.13
204,40,22,Convenience Seeker,28,200.1,90.5,Streaming,16.91,20.49
205,48,32,Convenience Seeker,25,216.9,97.0,Food Delivery,15.64,19.02
206,47,38,Wellness Focused,8,145.1,135.9,Electronics,6.81,7.45
207,52,8,Convenience Seeker,28,208.0,168.2,Discount Vouchers,17.76,22.24
208,24,8,Tech Enthusiast,19,489.3,253.4,Streaming,16.93,18.97
209,33,6,Wellness Focused,12,119.8,51.0,Streaming,7.71,8.68
210,43,14,Convenience Seeker,24,237.2,220.8,Food Delivery,16.58,18.86
211,19,32,Deal Hunter,21,222.1,140.8,Electronics,14.13,17.51
212,18,35,Convenience Seeker,24,303.9,221.6,Food Delivery,17.26,20.47
213,29,10,Deal Hunter,23,312.3,172.9,Discount Vouchers,16.35,20.32
214,22,3,Wellness Focused,12,233.0,190.4,Streaming,10.23,10.75
215,54,12,Deal Hunter,21,362.1,184.0,Discount Vouchers,15.96,20.57
216,49,31,Deal Hunter,21,221.5,184.5,Discount Vouchers,14.56,18.13
217,26,29,Deal Hunter,21,331.1,174.4,Streaming,15.56,20.34
218,52,5,Deal Hunter,15,254.6,115.5,Fitness,11.2,14.15
219,36,25,Deal Hunter,8,328.5,217.9,Groceries,9.46,11.81
220,33,41,Tech Enthusiast,18,374.8,317.6,Food Delivery,15.92,18.0
221,20,31,Wellness Focused,9,290.0,177.4,Electronics,9.17,10.27
222,37,21,Wellness Focused,12,339.8,141.3,Groceries,10.81,12.14
223,41,20,Wellness Focused,9,165.3,116.4,Discount Vouchers,7.32,8.16
224,50,39,Deal Hunter,22,325.9,252.4,Discount Vouchers,16.78,21.95
225,41,22,Tech Enthusiast,14,272.9,220.3,Discount Vouchers,11.93,13.9
226,28,4,Deal Hunter,15,221.3,137.5,Discount Vouchers,11.09,13.54
227,25,13,Deal Hunter,16,343.2,155.6,Electronics,12.99,15.8
228,53,45,Convenience Seeker,24,258.1,186.2,Streaming,16.44,19.95
229,37,42,Deal Hunter,23,345.3,200.7,Groceries,16.96,21.13
230,52,20,Wellness Focused,11,132.1,121.7,Groceries,8.04,8.91
231,42,13,Convenience Seeker,25,278.2,188.2,Streaming,17.16,19.76
232,52,17,Wellness Focused,8,28.2,18.6,Discount Vouchers,4.47,5.04
233,42,36,Convenience Seeker,18,223.4,127.4,Food Delivery,12.51,14.87
234,46,33,Deal Hunter,21,348.0,204.0,Streaming,16.02,20.93
235,35,1,Wellness Focused,11,281.8,192.2,Fitness,10.24,11.34
236,35,15,Deal Hunter,27,313.0,178.0,Electronics,18.41,22.77
237,19,13,Convenience Seeker,24,295.4,263.1,Food Delivery,17.58,21.36
238,52,17,Deal Hunter,13,279.8,179.5,Discount Vouchers,11.09,13.53
239,33,24,Wellness Focused,12,206.6,115.8,Fitness,9.22,10.61
240,53,8,Wellness Focused,10,150.4,73.0,Groceries,7.23,8.47
241,50,27,Convenience Seeker,18,377.3,290.4,Groceries,15.68,19.16
242,21,45,Tech Enthusiast,23,390.3,161.6,Electronics,17.02,19.57
243,50,23,Tech Enthusiast,10,399.8,258.9,Food Delivery,11.59,12.89
244,31,46,Wellness Focused,14,226.4,159.1,Electronics,10.85,11.93
245,38,8,Wellness Focused,7,210.1,123.3,Streaming,6.83,7.62
246,37,8,Deal Hunter,12,298.1,242.2,Groceries,11.4,13.74
247,25,26,Wellness Focused,14,204.6,157.9,Groceries,10.62,12.18
248,24,47,Deal Hunter,16,256.7,239.8,Discount Vouchers,12.96,15.47
249,20,13,Deal Hunter,14,333.6,226.8,Discount Vouchers,12.6,14.84
250,34,39,Tech Enthusiast,25,443.0,308.2,Food Delivery,20.01,23.66
251,50,37,Wellness Focused,15,154.6,82.8,Fitness,9.87,11.09
252,29,28,Convenience Seeker,23,237.8,145.5,Streaming,15.33,17.96
253,39,25,Deal Hunter,22,282.2,117.1,Discount Vouchers,14.99,18.66
254,39,16,Wellness Focused,11,93.8,73.1,Fitness,7.17,7.94
255,47,2,Deal Hunter,18,344.9,197.1,Discount Vouchers,14.42,17.93
256,25,18,Deal Hunter,11,291.5,203.2,Electronics,10.45,12.63
257,44,17,Deal Hunter,20,353.4,190.9,Groceries,15.44,19.29
258,44,30,Convenience Seeker,22,249.1,184.7,Food Delivery,15.34,18.94
259,51,39,Wellness Focused,7,216.9,140.1,Streaming,7.07,7.41
260,38,13,Deal Hunter,15,217.2,144.4,Fitness,11.12,13.63
261,47,32,Wellness Focused,15,111.2,102.2,Groceries,9.63,10.26
262,50,29,Deal Hunter,19,269.5,212.5,Discount Vouchers,14.32,17.43
263,45,46,Wellness Focused,12,251.8,137.0,Fitness,9.89,10.99
264,50,30,Tech Enthusiast,17,434.2,294.0,Discount Vouchers,15.78,17.22
265,22,18,Wellness Focused,16,164.2,107.8,Groceries,10.72,12.35
266,36,13,Tech Enthusiast,11,381.3,319.3,Fitness,12.51,14.16
267,21,43,Tech Enthusiast,20,445.8,382.6,Streaming,18.28,20.44
268,52,21,Convenience Seeker,25,224.7,124.9,Food Delivery,16.0,18.29
269,34,30,Wellness Focused,16,224.1,190.9,Groceries,12.15,13.42
270,45,21,Tech Enthusiast,25,397.1,198.1,Discount Vouchers,18.45,20.88
271,47,17,Convenience Seeker,21,337.6,276.7,Food Delivery,16.64,19.31
272,46,40,Deal Hunter,17,263.3,141.4,Fitness,12.55,15.19
273,23,19,Tech Enthusiast,16,402.3,226.9,Streaming,14.29,16.89
274,52,15,Wellness Focused,13,124.9,108.5,Groceries,8.83,9.61
275,54,9,Deal Hunter,21,417.7,263.6,Discount Vouchers,17.31,21.49
276,41,10,Convenience Seeker,17,261.3,246.8,Food Delivery,13.58,16.52
277,46,44,Wellness Focused,16,119.6,57.8,Groceries,9.77,10.7
278,48,31,Convenience Seeker,22,205.9,134.8,Discount Vouchers,14.41,17.88
279,52,23,Wellness Focused,12,210.8,169.3,Fitness,9.8,10.56
280,50,30,Wellness Focused,14,70.9,28.6,Fitness,7.99,8.69
281,38,33,Wellness Focused,15,169.3,81.9,Groceries,10.01,10.89
282,49,9,Convenience Seeker,19,208.9,85.9,Streaming,12.45,14.64
283,40,47,Wellness Focused,8,170.4,161.2,Fitness,7.32,7.86
284,50,1,Wellness Focused,11,186.1,152.3,Groceries,8.88,9.78
285,20,44,Wellness Focused,10,174.1,105.4,Fitness,7.8,8.9
286,35,35,Convenience Seeker,24,244.0,118.6,Groceries,15.63,18.2
287,42,11,Convenience Seeker,13,269.9,121.4,Groceries,10.41,12.43
288,48,34,Tech Enthusiast,17,515.0,356.7,Electronics,17.22,19.85
289,20,16,Deal Hunter,17,396.4,371.4,Electronics,16.18,21.02
290,41,9,Deal Hunter,25,299.7,231.1,Discount Vouchers,17.81,22.59
291,49,32,Convenience Seeker,18,303.5,182.4,Food Delivery,13.86,16.55
292,39,15,Tech Enthusiast,16,450.6,304.3,Streaming,15.55,17.31
293,40,12,Deal Hunter,30,297.3,282.2,Groceries,20.8,26.5
294,19,33,Deal Hunter,19,318.1,218.0,Electronics,14.86,18.82
295,44,45,Deal Hunter,18,352.3,327.7,Discount Vouchers,15.8,19.6
296,19,14,Wellness Focused,9,136.2,55.7,Streaming,6.42,7.02
297,43,8,Deal Hunter,27,305.6,243.4,Discount Vouchers,18.99,24.7
298,34,8,Convenience Seeker,20,248.1,184.8,Food Delivery,14.33,18.0
299,50,27,Convenience Seeker,18,243.8,189.4,Discount Vouchers,13.33,16.15
300,26,12,Tech Enthusiast,11,391.5,279.4,Streaming,12.21,13.87
301,46,1,Convenience Seeker,17,286.5,121.6,Electronics,12.58,14.66
302,43,43,Deal Hunter,23,321.6,155.1,Groceries,16.27,20.2
303,52,40,Convenience Seeker,20,298.4,270.7,Food Delivery,15.69,19.4
304,42,42,Tech Enthusiast,13,561.2,296.4,Food Delivery,15.08,16.17
305,41,11,Wellness Focused,18,147.9,139.9,Fitness,11.88,13.28
306,30,39,Tech Enthusiast,18,423.1,327.4,Electronics,16.5,18.99
307,24,43,Tech Enthusiast,14,440.5,283.9,Streaming,14.24,16.39
308,53,31,Deal Hunter,24,385.5,349.3,Streaming,19.35,23.61
309,37,17,Wellness Focused,14,206.1,172.5,Streaming,10.79,11.76
310,18,33,Deal Hunter,21,254.4,161.8,Electronics,14.66,17.91
311,25,32,Convenience Seeker,19,220.3,96.4,Groceries,12.67,15.96
312,33,29,Deal Hunter,12,328.8,288.5,Electronics,12.17,15.66
313,31,21,Deal Hunter,15,278.5,228.6,Electronics,12.57,15.73
314,29,21,Tech Enthusiast,8,321.4,268.4,Electronics,9.9,11.2
315,40,40,Deal Hunter,13,271.6,219.9,Discount Vouchers,11.42,14.16
316,32,23,Tech Enthusiast,19,361.9,199.7,Electronics,15.12,16.94
317,45,6,Deal Hunter,21,259.4,226.3,Streaming,15.36,18.18
318,51,22,Deal Hunter,24,471.6,189.2,Electronics,18.61,23.1
319,19,38,Tech Enthusiast,22,428.9,227.5,Streaming,17.56,20.91
320,49,37,Wellness Focused,12,186.9,79.6,Fitness,8.66,9.6
321,40,45,Wellness Focused,12,235.2,108.4,Fitness,9.44,10.21
322,39,8,Deal Hunter,17,427.9,296.5,Streaming,15.74,19.64
323,42,41,Convenience Seeker,28,283.2,119.1,Food Delivery,18.02,21.5
324,39,35,Wellness Focused,6,241.1,120.5,Streaming,6.62,7.08
325,39,11,Wellness Focused,12,149.9,79.1,Fitness,8.29,8.84
326,23,24,Convenience Seeker,25,205.6,156.4,Discount Vouchers,16.12,19.36
327,32,21,Tech Enthusiast,11,464.6,305.6,Streaming,13.2,14.34
328,54,2,Wellness Focused,11,233.4,152.2,Streaming,9.36,10.3
329,50,40,Tech Enthusiast,9,457.8,376.6,Streaming,12.84,14.48
330,25,19,Wellness Focused,13,187.5,122.1,Groceries,9.6,10.77
331,22,39,Wellness Focused,17,133.2,78.8,Groceries,10.62,11.63
332,21,28,Deal Hunter,17,291.2,270.6,Fitness,14.12,17.06
333,23,17,Convenience Seeker,22,329.3,133.2,Discount Vouchers,15.62,18.82
334,49,6,Tech Enthusiast,11,374.5,212.7,Electronics,11.37,13.2
335,47,19,Deal Hunter,21,331.2,243.5,Electronics,16.25,19.89
336,52,38,Deal Hunter,23,273.7,227.4,Groceries,16.51,21.27
337,33,28,Deal Hunter,19,308.5,261.9,Streaming,15.2,18.9
338,30,2,Deal Hunter,17,255.2,108.5,Discount Vouchers,12.14,14.92
339,47,38,Tech Enthusiast,13,405.5,320.4,Electronics,13.76,15.29
340,36,37,Tech Enthusiast,12,381.3,303.6,Fitness,12.85,14.6
341,34,4,Convenience Seeker,25,157.6,81.6,Electronics,14.89,17.83
342,36,22,Deal Hunter,20,359.3,166.0,Groceries,15.25,18.32
343,45,26,Wellness Focused,6,216.6,175.9,Fitness,6.93,7.95
344,43,43,Wellness Focused,9,183.4,98.5,Fitness,7.32,7.98
345,54,36,Tech Enthusiast,25,342.6,137.3,Electronics,17.3,20.37
346,43,13,Convenience Seeker,26,193.4,101.1,Discount Vouchers,15.94,18.61
347,40,32,Deal Hunter,19,459.8,191.8,Discount Vouchers,16.02,20.33
348,26,17,Convenience Seeker,18,102.7,55.1,Streaming,10.58,13.13
349,29,41,Tech Enthusiast,10,344.6,201.3,Electronics,10.46,12.22
350,18,36,Wellness Focused,12,309.0,169.7,Groceries,10.79,12.0
351,18,46,Wellness Focused,11,327.8,296.9,Streaming,11.75,13.28
352,51,19,Deal Hunter,22,421.9,222.7,Electronics,17.45,21.88
353,49,35,Wellness Focused,15,211.9,139.3,Groceries,11.01,11.77
354,42,46,Wellness Focused,12,141.8,131.4,Groceries,8.73,9.71
355,18,40,Deal Hunter,19,219.0,193.5,Streaming,13.62,16.44
356,33,28,Convenience Seeker,13,284.4,162.1,Groceries,10.96,12.75
357,22,1,Deal Hunter,16,274.2,158.9,Discount Vouchers,12.33,15.39
